0.6506329113924052,0.010406867681691261,S2/minmax/artefacto/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.633996383363472,0.02463431292530068,S2/minmax/artefacto/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.633996383363472,0.022362544251070166,S2/minmax/artefacto/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5798816568047337,0.012262154668536135,S2/prom0/modalidad/[24576 2],14-10-2024,Cambi� normalizacion mixmax a abs_prom0.
0.6023668639053255,0.006400386879521867,S2/prom0/modalidad/[24576 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6272189349112426,0.010866042225514254,S2/prom0/modalidad/[24576 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.580276134122288,0.008703120896611521,S2/prom0/modalidad/[24576 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6110453648915186,0.009128549479610365,S2/prom0/modalidad/[24576 256 256 256 256 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.10341880341880341,0.00756361966684951,S2/prom0/estimulo/[24576 11],14-10-2024,Cambi� normalizacion mixmax a abs_prom0.
0.11025641025641027,0.003364960629919577,S2/prom0/estimulo/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.12136752136752138,0.004148822187809317,S2/prom0/estimulo/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.11495726495726495,0.0031111580723421025,S2/prom0/estimulo/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.10726495726495726,0.004363371336893618,S2/prom0/estimulo/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.42423146473779383,0.010702739064707189,S2/prom0/artefacto/[24576 11],14-10-2024,Cambi� normalizacion mixmax a abs_prom0.
0.5287522603978301,0.012281929382847688,S2/prom0/artefacto/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5385171790235083,0.007813525388957795,S2/prom0/artefacto/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5334538878842676,0.015102434980551596,S2/prom0/artefacto/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5855334538878844,0.008101185093888656,S2/prom0/artefacto/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6445714285714287,0.008693313300757354,S3/minmax/modalidad/[24576 2],10-10-2024,Primer perceptron simple.
0.6982857142857142,0.09347278212256457,S3/minmax/modalidad/[24576 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6693333333333332,0.023925811259901817,S3/minmax/modalidad/[24576 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6019047619047619,0.07600214819735192,S3/minmax/modalidad/[24576 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5245714285714286,0.0911987190107753,S3/minmax/modalidad/[24576 256 256 256 256 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.12530120481927712,0.004080803500582645,S3/minmax/estimulo/[24576 11],10-10-2024,Primer perceptron simple.
0.12289156626506023,0.008826209227243337,S3/minmax/estimulo/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.1389558232931727,0.003767402216725646,S3/minmax/estimulo/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.11566265060240963,0.004458554881761952,S3/minmax/estimulo/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.10160642570281123,0.006773946904993171,S3/minmax/estimulo/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5786372007366483,0.01316726551139556,S3/minmax/artefacto/[24576 11],10-10-2024,Primer perceptron simple.
0.5705340699815837,0.009912299551232335,S3/minmax/artefacto/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5318600368324125,0.04196794408479964,S3/minmax/artefacto/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.565377532228361,0.036624644201383685,S3/minmax/artefacto/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6386740331491713,0.06505040978590844,S3/minmax/artefacto/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5958095238095238,0.00246149485396574,S3/prom0/modalidad/[24576 2],14-10-2024,Cambi� normalizacion mixmax a abs_prom0.
0.6137142857142857,0.011296057145282083,S3/prom0/modalidad/[24576 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.6076190476190476,0.011276769611897665,S3/prom0/modalidad/[24576 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5942857142857143,0.015409747482042572,S3/prom0/modalidad/[24576 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5984761904761905,0.01410938800699637,S3/prom0/modalidad/[24576 256 256 256 256 256 256 256 2],15-10-2024,Implmente MLP con ambas normalizaciones.
0.12208835341365461,0.00498784833268041,S3/prom0/estimulo/[24576 11],14-10-2024,Cambi� normalizacion mixmax a abs_prom0.
0.11445783132530121,0.003940043548262769,S3/prom0/estimulo/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.10923694779116466,0.0032564808715314962,S3/prom0/estimulo/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.12891566265060242,0.003575199561197763,S3/prom0/estimulo/[24576 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.11325301204819276,0.0023157756214198383,S3/prom0/estimulo/[24576 256 256 256 256 256 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.4751381215469614,0.00764882491981407,S3/prom0/artefacto/[24576 11],14-10-2024,Cambi� normalizacion mixmax a abs_prom0.
0.5561694290976058,0.0060661764611420225,S3/prom0/artefacto/[24576 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
0.5528545119705341,0.0066323915673551104,S3/prom0/artefacto/[24576 256 256 11],15-10-2024,Implmente MLP con ambas normalizaciones.
